datetime,totalFare,avgFare,totalTip,avgTip
2013-01-30,5639803.489999999,11.691668131631209,667540.3199999925,1.3838531607991917
2013-05-21,6368197.88,12.748532362809394,720318.6999999728,1.4420101937043521
2013-02-22,6624069.200000001,11.855412017797253,741167.199999978,1.3265022246562395
2013-06-10,5832767.539999999,12.647842408498438,657447.4299999684,1.425616815600354
2013-01-24,6123009.450000001,11.486982096994781,695440.8599999966,1.3046716281547817
2013-08-27,5177160.859999999,12.244882616449306,575364.7999999954,1.3608374605607243
2013-08-07,5735597.600000001,12.317876778228301,660915.7199999926,1.4193949728540836
2013-05-06,5846110.19,12.48827284417937,648141.7799999801,1.3845396558205878
2013-09-19,1.2915463099999996E7,12.812705204261816,1540850.239999993,1.5285909406559324
2013-07-10,5860395.100000001,12.34339083364927,672375.1499999914,1.416182547706288
2013-12-23,4753043.399999999,12.337844102782412,476111.11999999976,1.235878631817485
2013-12-03,5885190.930000002,12.689563049018723,714401.439999979,1.5403819898141347
2013-10-07,5387571.6,12.645991127385395,624317.4499999966,1.4654307208412474
2013-10-29,5715364.880000001,12.319056957182426,680588.9699999973,1.4669604586750526
2013-05-23,6535016.100000001,13.281068376502628,738245.5999999893,1.50033146701078
2013-12-07,6754487.470000001,12.221887922845175,721818.659999979,1.3060926979760954
2013-07-24,6013510.449999999,12.622711920974634,690900.7299999918,1.4502412448258029
2013-05-18,6780866.039999999,12.652616294040593,673905.9699999748,1.2574608621339043
2013-11-27,5400613.69,12.078316049139742,592729.2900000003,1.3256218843163001
2013-12-21,6075050.84,12.690275966802933,642615.5499999791,1.3423704401556225
2013-04-16,5849350.030000001,12.157525055598281,659541.7299999952,1.3708181364703826
2013-11-13,6096478.36,12.388824027880796,762245.559999999,1.548980501732387
2013-01-21,4553907.6899999995,11.840202618729426,498127.5799999949,1.2951363704909205
2013-05-03,6842404.790000001,12.41908161950345,741199.1399999722,1.3452891049968732
2013-03-13,6355292.830000001,12.344137591459923,738891.6099999653,1.4351785107303883
2013-08-20,5382097.469999999,12.442861367025394,594066.0099999972,1.3734201296974817
2013-03-31,5478345.130000001,12.251502559503711,527658.0699999899,1.1800286476561699
2013-12-01,5277094.13,13.25606618118059,559342.7799999955,1.4050696703500862
2013-01-08,5056443.060000001,11.445665153085942,561641.9299999889,1.2713216366591114
2013-01-13,5355382.68,12.1014384655885,565805.9299999893,1.278539005425462
2013-10-17,6550841.2299999995,12.937607718908797,784795.8099999968,1.5499353400178868
2013-12-09,5692887.450000001,12.591875060826176,692388.7099999748,1.5314675033398542
2013-09-06,1.2554238120000001E7,12.340985883925764,1390352.0399999854,1.3667348615916812
2013-08-19,5147610.99,12.954853378633446,546308.4499999959,1.3748797030325806
2013-06-14,6442628.590000001,12.683887777642155,724983.0799999707,1.4273062460378447
2013-12-17,5910193.610000001,12.268786841482505,731189.0399999717,1.5178525551869149
2013-10-13,6073707.010000001,13.124790952662902,631305.0499999877,1.364199292947165
2013-03-19,5659968.91,11.86506643215912,661339.6799999749,1.3863749716997218
2013-08-30,5837177.9,12.777739129292682,614119.4999999914,1.3443240722904037
2013-06-28,6509133.7700000005,12.843417257456982,730483.8099999728,1.441345147166422
2013-01-01,5301831.680000001,12.84887594212733,447658.0599999893,1.084889755955673
2013-09-29,1.202582514E7,13.131841345481865,1286627.1599999566,1.4049583741001692
2013-06-17,5484850.15,12.526921970103576,604727.7399999952,1.3811457022462177
2013-07-30,5398819.3500000015,12.173568447327659,609168.4099999783,1.3735879743937889
2013-02-04,5348864.670000001,11.701917706024815,614435.0499999814,1.3442232762260227
2013-07-22,5389205.940000001,12.235487096356742,599895.4799999835,1.3619842118526517
2013-04-18,6568251.41,12.4858644248225,757644.2099999986,1.4402376367490064
2013-03-11,5468583.65,12.112490725010687,614364.2399999942,1.3607693755910946
2013-05-09,6783937.7,12.878807674199624,781190.0299999728,1.4830319201445326
2013-05-05,6186929.180000001,12.667853913627468,633954.8399999761,1.2980344638366736
2013-11-02,6512778.580000001,11.835971053315477,676232.549999969,1.228948411003609
2013-09-02,8628293.360000001,12.98401485556753,870531.6799999902,1.3099921147514193
2013-07-18,6408460.31,12.473500212158841,747439.009999987,1.454823810839929
2013-02-02,6351694.529999999,11.147685024141023,655887.179999979,1.151129617376586
2013-03-08,6410318.25,11.749396979766747,722590.269999972,1.324427213258329
2013-11-05,5768453.28,12.33867356847982,696113.2399999979,1.4889804282261296
2013-04-28,5990474.56,12.802894977559307,616494.7699999901,1.3175780508655484
2013-03-16,6855089.23,11.941499139456779,687011.7399999731,1.1967678066250909
2013-04-21,6022959.890000001,12.461536960713726,628751.2899999935,1.3008898585627726
2013-01-20,5356449.95,11.659842335429579,539733.5999999924,1.174884249433475
2013-09-01,9648346.82,12.547593856477748,864530.6800000167,1.1243148750227803
2013-11-23,6586831.01,11.892914100515487,713553.7099999835,1.288363549368476
2013-10-15,5439574.33,12.639767098714081,637738.9899999945,1.4818939524205526
2013-07-27,5603889.26,12.239601396967123,549355.9399999849,1.1998627058265605
2013-04-08,5351688.859999999,12.148571824207753,596326.589999995,1.3536878915826636
2013-07-25,6193185.250000002,12.69113542612292,716202.6999999749,1.467649535956407
2013-10-26,6521060.54,12.163207692164214,681785.5499999905,1.271679536679519
2013-12-02,5595944.820000001,13.102372826590871,665423.0099999794,1.5580247205532727
2013-12-04,6152540.830000001,13.039519559679384,755122.2299999808,1.6003845175674294
2013-02-20,5906876.919999999,11.52545608157547,682766.8799999747,1.3322098624993897
2013-09-16,1.1343597400000002E7,12.752836887405904,1309440.599999988,1.4721152203045185
2013-11-18,5345149.630000001,12.57670428984198,650696.46,1.5310360843662647
2013-02-24,5707586.35,12.021463173702513,603506.4199999883,1.271120532959243
2013-07-14,5487947.82,12.59289949219476,570850.1499999925,1.3098992191318262
2013-03-23,6496426.67,11.740558417008234,655154.949999977,1.1840178229344716
2013-05-02,6569131.35,12.556879193347987,748966.7499999676,1.4316481888559067
2013-04-01,5206677.17,12.136861493203915,554237.1699999928,1.291937169723781
2013-03-17,6103832.930000001,12.362593886586707,630990.06999998,1.2779959856926606
2013-02-07,6461855.6899999995,12.07586490501864,764763.279999994,1.4291835807925435
2013-09-20,1.352676734E7,12.928859312245876,1546373.1199999982,1.4780205802459443
2013-05-07,6035359.16,12.296857529976263,687686.9799999703,1.401140941921884
2013-05-14,6027604.580000002,12.292528719457858,689320.2899999772,1.4057805798750216
2013-09-03,1.0767544660000002E7,12.746910400867511,1206628.879999987,1.428439881711988
2013-08-04,2599988.910000001,12.85150961395878,268666.72999999026,1.3279953042360253
2013-05-26,4771432.4799999995,12.408930915748629,431978.4799999906,1.123434343434319
2013-06-15,6030210.07,12.167494087974173,598513.5199999806,1.2076543987085968
2013-12-18,6377378.1,13.057962079485657,792809.7999999619,1.6233129261450108
2013-12-20,6781390.620000001,13.030510929549754,796839.0999999648,1.5311344211642137
2013-01-07,4749010.05,11.657931746378537,512448.4499999899,1.2579651318357088
2013-12-14,6149067.55,11.909804029804203,684405.7199999744,1.3255892760645869
2013-07-15,5485633.630000001,12.370382231102113,613036.0999999895,1.382427517031247
2013-04-23,6022604.100000001,12.074137834250866,695709.4799999944,1.394760806893305
2013-05-11,6357176.539999999,11.769672117186168,633589.8699999758,1.1730278339368447
2013-12-16,5810266.629999999,12.79546394091013,694638.4399999715,1.5297441024646579
2013-09-25,1.19693707E7,12.960344566222505,1446519.3399999926,1.5662802613427846
